,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
7-Jul,22,109,125,121,31,138,23,12,16,67,39,15,18,76,13,124,0,8,0,0,11,0
8-Jul,41,101,179,113,19,146,12,4,20,146,3,4,28,59,27,86,0,1,0,0,11,0
9-Jul,12,98,146,130,50,113,1,13,11,158,21,54,22,71,31,104,0,0,1,0,9,0
10-Jul,15,155,104,133,34,100,,28,17,100,57,96,138,137,34,114,0,11,0,0,8,1
11-Jul,56,154,152,198,44,82,,73,3,164,23,72,94,84,29,83,0,15,0,0,8,0
12-Jul,15,123,121,241,23,107,6,73,0,181,58,64,218,156,36,86,0,25,0,0,22,0
13-Jul,20,181,70,238,25,196,8,104,0,204,39,68,263,91,17,107,0,11,1,0,35,0
14-Jul,34,244,137,268,43,199,7,38,35,361,34,68,166,49,6,132,0,8,1,2,31,0
15-Jul,54,144,75,139,112,193,9,55,129,283,33,87,322,51,11,194,286,7,0,0,77,0
16-Jul,61,167,66,138,139,179,2,92,68,122,23,45,241,43,9,186,567,4,0,2,23,1
17-Jul,33,163,37,147,140,170,18,98,51,156,53,97,259,60,3,209,926,37,3,1,15,0
18-Jul,12,111,92,96,0,117,21,48,31,133,35,163,188,46,1,174,930,0,3,0,19,1
19-Jul,11,94,97,35,0,90,39,58,25,94,73,207,139,33,2,225,1477,23,1,0,11,0
20-Jul,5,97,15,31,0,52,86,41,32,147,50,160,172,15,5,185,830,0,1,0,12,0
21-Jul,31,76,43,37,0,52,48,30,42,162,49,270,150,22,5,222,532,0,0,0,12,1
22-Jul,31,57,20,50,132,76,147,154,27,120,58,209,61,18,21,230,641,2,0,0,11,0
23-Jul,32,78,67,65,314,56,151,89,100,90,149,94,80,3,10,165,479,0,3,0,4,0
24-Jul,27,57,87,66,381,42,210,96,18,65,71,45,70,37,13,109,525,2,3,0,16,0
25-Jul,9,60,91,58,305,47,109,151,79,213,101,72,69,71,7,197,760,0,15,2,9,0
26-Jul,3,44,87,70,217,75,113,163,48,420,68,74,52,37,3,248,947,8,16,1,7,0
27-Jul,4,37,118,78,137,72,120,91,67,230,26,48,123,70,5,170,749,1,25,0,7,1
28-Jul,3,45,85,98,109,130,89,86,126,134,42,18,84,89,14,154,783,1,16,1,10,1
29-Jul,15,70,100,41,83,204,68,89,145,128,47,26,123,52,20,181,946,10,15,0,3,0
30-Jul,27,153,92,14,114,159,51,96,94,141,34,40,140,81,11,180,899,7,1,0,17,0
31-Jul,8,149,99,17,108,207,62,98,41,178,31,35,422,51,12,137,793,12,1,0,37,0
1-Aug,18,114,138,18,177,284,23,101,112,175,42,81,501,50,8,161,823,9,3,0,7,2
2-Aug,21,77,163,24,189,383,27,89,61,143,46,54,351,35,13,206,1146,3,5,2,8,0
3-Aug,34,103,466,10,207,392,39,123,99,105,39,73,165,97,9,200,818,0,18,1,2,1
4-Aug,34,134,356,45,274,176,51,174,62,89,81,123,142,114,8,428,842,0,16,0,1,2
5-Aug,35,57,142,81,109,72,47,202,35,81,30,91,110,72,13,308,673,14,3,0,6,0
6-Aug,42,62,138,98,91,47,41,165,,48,48,90,54,38,6,362,678,12,8,1,4,2
7-Aug,9,29,102,81,97,66,129,135,33,147,40,146,31,30,26,259,375,4,8,0,5,0
8-Aug,16,23,144,64,97,51,88,152,94,215,51,293,11,17,62,148,489,4,7,1,6,1
9-Aug,11,16,371,68,92,64,145,119,85,233,81,131,15,12,53,133,403,8,4,1,22,1
10-Aug,19,35,337,60,94,69,155,141,84,117,112,135,20,17,33,90,392,6,5,4,14,1
11-Aug,9,39,126,56,63,160,119,168,86,114,120,166,30,13,19,69,331,11,9,2,9,1
12-Aug,36,57,47,87,64,151,138,149,133,179,69,151,95,17,9,187,399,9,13,4,15,1
13-Aug,76,63,17,54,277,550,131,92,47,397,81,191,47,29,6,136,298,6,9,1,12,0
14-Aug,162,427,31,59,1100,353,119,104,49,158,37,107,76,50,10,300,279,5,7,7,3,1
15-Aug,90,237,28,67,926,207,72,54,55,309,42,91,110,20,4,151,374,8,10,17,14,1
16-Aug,67,105,12,74,1287,264,118,117,49,437,16,77,116,36,9,87,356,3,15,2,12,0
17-Aug,55,33,5,69,599,145,67,109,46,133,9,67,89,34,5,247,313,6,5,5,47,0
18-Aug,28,54,2,50,321,102,109,94,27,129,9,116,78,20,8,228,345,17,10,4,41,1
19-Aug,32,35,11,44,138,71,107,138,45,26,18,170,22,21,13,171,348,34,15,3,10,1
20-Aug,39,30,15,40,150,58,118,158,90,69,11,279,14,16,,228,272,27,27,12,5,0
21-Aug,37,23,23,36,372,123,136,156,53,26,118,281,28,14,4,208,256,50,17,12,14,3
22-Aug,22,10,86,44,301,65,249,138,37,71,434,156,41,15,7,117,143,99,11,4,27,0
23-Aug,5,56,67,38,554,18,384,141,61,58,212,104,94,5,4,177,191,239,10,5,8,1
24-Aug,9,39,,49,195,22,396,148,30,128,192,55,93,3,24,186,206,116,9,2,8,4
25-Aug,4,10,,26,368,24,198,123,26,65,101,34,32,22,31,192,322,35,12,7,1,23
26-Aug,20,31,,9,303,38,130,113,18,88,93,27,96,43,42,154,349,20,10,3,8,15
27-Aug,23,4,,7,116,54,73,100,33,0,110,26,43,42,30,137,392,31,5,0,3,4
28-Aug,14,1,,3,83,35,67,139,47,44,62,16,106,31,81,82,227,10,3,2,0,9
29-Aug,6,7,,1,126,41,48,119,49,47,40,16,83,20,17,150,227,4,8,1,3,3
30-Aug,2,26,,1,122,157,51,154,30,53,58,7,202,28,27,136,382,3,2,2,1,9
31-Aug,24,27,,46,156,192,19,149,48,44,45,10,196,14,12,59,241,3,2,3,0,1
1-Sep,14,13,,32,206,104,26,103,25,39,48,17,103,26,10,52,347,2,5,1,4,4
2-Sep,33,10,,30,76,50,17,143,62,18,71,16,62,25,9,64,310,2,2,1,3,5
3-Sep,8,6,,128,98,32,31,142,31,19,38,13,41,15,13,59,405,0,9,4,5,3
4-Sep,7,8,,117,167,50,38,89,8,18,37,37,43,19,54,51,159,5,5,3,4,3
5-Sep,23,2,,99,65,35,21,,39,8,27,40,23,24,40,41,403,3,14,2,3,4
6-Sep,24,4,,61,39,62,28,,,34,17,28,10,33,20,27,240,7,5,0,12,0
7-Sep,7,3,,49,20,70,42,32,,36,19,34,4,27,31,20,316,6,2,1,6,1
8-Sep,5,2,,46,9,179,50,35,,258,14,44,11,26,25,26,202,3,5,3,0,0
9-Sep,17,16,,20,14,184,26,12,47,34,10,58,7,11,12,18,109,5,1,0,11,4
10-Sep,12,11,,11,9,109,35,11,25,42,15,57,24,13,11,22,45,0,5,0,9,2
11-Sep,23,30,,14,40,65,114,10,22,63,20,36,29,10,7,12,72,10,4,5,10,0
12-Sep,33,32,,1,45,34,127,3,17,21,12,26,35,16,8,24,51,7,3,0,8,1
13-Sep,11,23,,4,55,24,116,2,17,59,12,43,38,19,10,39,47,5,2,0,6,2
14-Sep,15,17,,,37,29,84,4,6,19,9,27,58,26,10,46,21,4,0,0,5,0
15-Sep,11,33,,,32,11,43,8,16,22,11,29,44,13,26,56,46,4,1,0,1,1
16-Sep,15,35,,,28,11,34,11,6,10,5,36,101,4,16,35,69,2,5,0,7,0
17-Sep,18,31,,,16,21,36,22,2,12,4,53,69,4,43,99,68,8,3,0,2,7
18-Sep,13,35,,,20,26,35,23,5,13,2,57,45,4,35,53,34,10,14,4,3,3
19-Sep,3,45,528,,21,32,46,32,5,19,2,36,82,4,30,62,29,5,21,1,4,1
20-Sep,1,28,47,,36,41,38,40,42,11,0,37,82,4,23,117,24,13,7,2,9,2
21-Sep,0,19,24,,25,7,32,55,33,11,0,45,44,6,15,58,30,13,7,1,8,7
22-Sep,0,15,12,,28,46,44,57,31,10,14,18,67,13,18,53,29,11,15,0,15,2
23-Sep,1,32,,11,23,36,23,48,8,9,40,40,49,15,,43,31,8,10,0,0,0
24-Sep,2,19,,,31,30,38,36,8,5,48,15,32,33,18,47,26,12,18,1,3,1
25-Sep,2,14,,,122,24,25,31,8,5,48,6,36,38,15,32,29,11,11,0,12,0
26-Sep,1,21,,,171,13,19,45,6,5,58,2,11,22,1,12,43,17,17,2,12,8
27-Sep,1,7,,15,99,34,6,144,5,6,63,4,20,15,9,26,78,14,7,3,8,3
28-Sep,0,6,,2,42,23,4,378,4,21,74,1,14,9,1,11,67,34,1,4,3,4
29-Sep,0,2,,,26,124,4,91,3,15,85,8,17,16,0,21,58,11,3,8,4,2
