Brood_year,NOS,HOS,pHOS
1989,713,0,
1990,571,0,
1991,242,0,
1992,676,0,
1993,231,2,
1994,123,61,
1995,0,33,
1996,41,17,
1997,60,122,
1998,59,32,
1999,87,7,
2000,233,113,
2001,506,1219,
2002,254,453,
2003,168,102,
2004,575,276,
2005,139,460,
2006,114,415,
2007,155,1141,
2008,190,968,
2009,297,1050,
2010,419,675,
2011,801,1231,
2012,574,904,
2013,422,956,
2014,538,461,
2015,337,630,
2016,407,164,
2017,171,288,
