Model Yr,Species,Date,Position,# Released,# Recaptured,% Efficiency (not transformed),Discharge (cfs)
2002,YCW,2000,Lower,200,25,13.0,566
2002,YCW,2000,Lower,161,22,14.3,466
2002,YCW,2000,Lower,129,13,10.9,801
2002,YCW,2000,Lower,95,7,8.4,1090
2002,YCW,2000,Lower,82,5,7.3,1250
2002,YCW,2000,Lower,31,1,6.5,1270
2002,YCW,2000,Lower,53,1,3.8,1100
2002,YCW,2000,Lower,90,9,11.1,1050
2002,YCW,2000,Lower,107,4,4.7,1269
2002,YCW,2000,Lower,50,1,4.0,1620
2002,YCW,2005,Lower,100,22,23.0,391
2002,YCW,2005,Lower,170,18,11.2,343
2002,YCW,2005,Lower,200,60,30.5,294
2002,YCW,2005,Lower,200,23,12.0,754
2002,YCW,2005,Lower,124,4,4.0,1303
2002,SBC,NA,Lower,181,10,6.1,1239
2002,SBC,NA,Lower,200,25,13.0,1136
2002,SBC,NA,Lower,200,27,14.0,909
2002,SBC,NA,Lower,200,44,22.5,667
2002,SBC,NA,Lower,200,52,26.5,468
2002,SBC,NA,Upper,115,21,19.1,335
2002,SBC,NA,Upper,119,44,37.8,199
2002,SBC,NA,Upper,125,45,36.8,231
2002,SBC,NA,Upper,137,46,34.3,152
2002,SBC,NA,Upper,199,84,42.7,121
2002,SBC,NA,Upper,158,65,41.8,150
2002,SBC,NA,Upper,153,47,31.4,232
2002,SBC,NA,Upper,146,61,42.5,152
2002,SBC,NA,Upper,200,69,35.0,269
2002,SBC,NA,Upper,189,50,27.0,294
2002,SBC,NA,Upper,123,39,32.5,343
2002,SBC,NA,Upper,200,92,46.5,96
