,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
30-Apr,,7,18,0,0,1,47,123,0,0,0,50,32,11,7,0,0,0,0,0,6,0
1-May,,24,18,0,0,363,0,217,0,97,0,195,13,0,1,300,0,0,0,0,,0
2-May,26,36,6,0,6,6,,318,0,47,1,25,,3,0,458,937,0,0,0,,0
3-May,4,16,3,0,,1131,3,41,0,144,0,,,1,0,377,1140,0,0,0,,0
4-May,1,33,,3,,678,3,7,4,3,0,,,,0,0,1193,0,0,0,,0
5-May,,,,4,,,18,52,0,0,38,10,,,,0,1072,0,0,0,,0
6-May,,,,4,14,,0,15,1,112,499,44,,0,,0,650,0,0,1,,0
7-May,,,,8,55,,0,116,2,0,241,58,0,0,7,0,0,0,0,1,,0
8-May,,,,8,1,,3,275,0,0,10,5,0,0,3,0,473,0,0,0,,0
9-May,,30,,6,0,,3,458,0,0,38,118,0,0,1,483,1243,0,0,0,,0
10-May,,21,,3,35,,38,60,0,0,164,,0,0,0,7,886,0,0,0,,
11-May,,17,3,5,3,,1,81,107,0,10,0,0,0,0,0,15,0,0,0,,
12-May,,,1,0,51,,2,,0,2,25,0,0,0,0,0,3,0,0,0,,
13-May,,,4,2,21,,0,77,5,397,63,3,0,0,0,0,0,0,0,0,,
14-May,,,0,7,11,,10,38,0,0,,5,0,8,3,0,26,0,0,0,,
15-May,,1,2,7,,,99,,0,0,107,3,0,0,0,0,25,0,0,0,,
16-May,,2,1,1,,17,,,0,0,,8,,0,,0,28,0,0,0,,
17-May,,0,2,0,,1,,,0,4,,22,,0,0,0,0,0,0,0,0,
18-May,,1,0,0,,2,,25,0,0,,,,0,0,0,0,0,0,0,1,
19-May,,0,0,0,,3,4,1,0,353,,,,0,,0,0,0,0,0,0,
20-May,,1,6,0,0,1,4,0,0,,,,,0,0,6,0,0,0,0,0,
21-May,,0,3,3,0,1,1,,0,0,,,,0,0,500,0,0,0,0,0,
22-May,,,15,14,0,0,1,,0,0,,11,,0,0,0,0,0,,0,0,
23-May,,,9,15,7,0,0,,0,0,2,29,,0,0,0,0,,0,0,0,0
24-May,,,24,5,,0,0,3,0,1,1,9,,0,0,0,2,,0,,0,
25-May,,,30,5,,1,1,6,0,,4,3,,0,0,0,0,,0,,0,
26-May,,,24,18,1,2,1,0,2,,0,1,0,0,1,0,1,,0,,0,
27-May,,,19,19,7,9,2,1,1,,0,14,0,0,0,0,0,0,0,,0,0
28-May,,,3,28,4,0,29,5,1,10,0,15,0,0,0,1,0,0,0,0,0,0
29-May,,,9,7,1,2,1,1,0,20,0,0,13,0,1,1,0,0,0,0,0,0
30-May,,,6,7,37,2,1,0,2,,0,0,16,0,1,12,0,1,0,0,0,
31-May,,,13,22,41,2,1,1,1,,0,3,22,0,3,47,0,0,0,0,0,
1-Jun,,,14,40,54,3,0,1,0,,0,,18,,8,2,0,0,2,1,0,
2-Jun,,,13,44,3,1,,0,0,,0,,0,,1,25,0,0,1,0,0,
3-Jun,,,7,18,17,1,,0,0,,0,,0,0,3,0,0,0,0,0,0,
4-Jun,,,1,43,2,16,,3,0,,2,,0,128,2,9,0,0,1,0,0,
5-Jun,,,,20,28,5,6,2,0,0,14,,0,0,1,12,0,0,0,0,0,
6-Jun,22,,3,37,7,3,0,0,0,0,16,,0,1,0,0,0,0,0,0,0,
7-Jun,2,,,30,56,17,0,13,0,,0,,6,4,1,1,0,0,0,0,0,
8-Jun,10,,,67,63,23,2,,0,,0,12,25,2,3,0,0,0,0,0,0,
9-Jun,7,,,45,30,23,3,,0,0,10,2,11,3,36,0,0,0,0,0,0,0
10-Jun,4,,,32,20,0,3,21,0,0,5,17,31,75,0,0,15,0,0,0,0,0
11-Jun,12,,,67,29,22,3,0,0,0,2,0,28,20,1,0,7,0,0,0,0,
12-Jun,20,6,,60,14,4,10,6,0,0,0,0,22,38,2,4,0,0,0,0,0,
13-Jun,33,7,99,109,5,47,1,9,0,1,0,1,8,0,3,1,0,0,0,0,0,
14-Jun,20,7,48,80,7,54,1,0,,2,0,162,0,28,0,40,0,0,0,0,1,0
15-Jun,14,1,100,87,19,103,2,0,,2,0,36,8,19,5,23,0,0,0,0,0,0
16-Jun,11,1,65,47,48,33,5,2,0,2,0,8,9,10,1,7,0,0,0,0,0,0
17-Jun,5,0,32,67,17,32,2,0,0,3,4,1,8,20,0,16,0,0,0,0,0,0
18-Jun,27,3,19,70,27,39,1,1,0,3,4,1,12,7,69,68,0,0,0,0,0,0
19-Jun,25,5,13,56,39,17,,0,0,7,12,4,0,10,0,8,0,3,0,0,0,0
20-Jun,11,,12,98,61,50,0,0,0,13,6,12,12,18,0,17,77,2,0,0,0,0
21-Jun,6,,2,81,41,52,1,0,0,1,4,0,32,10,0,97,55,0,0,0,0,0
22-Jun,,,8,45,50,59,6,0,0,9,6,0,25,0,0,192,0,0,0,0,0,0
23-Jun,,1,3,89,68,22,7,1,0,4,1,0,4,9,0,141,0,0,0,0,0,0
24-Jun,22,1,24,30,60,26,0,0,0,152,3,8,4,6,0,121,0,2,0,0,0,0
25-Jun,17,1,37,35,40,14,1,0,0,127,2,7,2,16,0,50,0,15,0,0,0,0
26-Jun,11,3,11,13,57,39,11,0,0,242,2,0,1,23,0,70,7,8,0,0,1,0
27-Jun,12,1,13,8,34,26,1,0,0,151,0,5,0,13,125,56,20,0,0,0,0,0
28-Jun,15,0,19,7,48,80,10,16,0,262,0,,0,28,0,0,39,2,0,0,1,0
29-Jun,12,6,43,3,44,60,7,5,0,179,1,7,1,31,0,31,15,0,0,0,0,0
30-Jun,30,5,41,10,79,56,18,5,0,194,2,5,1,49,0,21,81,0,0,0,0,0
1-Jul,10,6,49,3,42,39,6,3,0,151,6,3,5,21,0,50,0,0,0,0,0,0
