Model Yr,Species,1st day of collections,Position,# Released,# Recaptured,% Efficiency (not transformed),Discharge (cfs),Notes
2006,YCW & SBC,3/27/2006,Lower,181,77,43.1,112,
2006,YCW & SBC,4/1/2006,Lower,169,70,42,182,
2006,YCW & SBC,4/7/2006,Lower,200,68,34.5,275,
2006,YCW & SBC,4/13/2006,Lower,198,21,11.1,462,
2006,YCW & SBC,4/19/2006,Lower,197,50,25.9,402,
2006,SBC,2004,Upper,186,35,19.4,421,Cant find anything close to these groups
2006,SBC,2004,Upper,200,41,21,367,Cant find anything close to these groups
2006,SBC,2004,Upper,199,38,19.6,294,Cant find anything close to these groups
2006,SBC,2004,Upper,194,59,30.9,134,Cant find anything close to these groups
2006,SBC,2004,Upper,161,46,29.2,165,Cant find anything close to these groups
2006,SBC,2004,Upper,165,46,28.5,165,Cant find anything close to these groups
2006,SBC,2004,Upper,176,52,30.1,149,Cant find anything close to these groups
2005,YCW & SBC,3/11/2005,Lower,100,22,23,391,
2005,YCW & SBC,4/4/2005,Lower,200,60,30.5,294,
2005,YCW & SBC,4/24/2005,Lower,200,23,12,754,
2005,YCW & SBC,4/27/2005,Lower,124,4,4,1303,
2005,SBC,7/12/2004,Upper,115,21,19.1,335,
2005,SBC,8/6/2004,Upper,119,44,37.8,199,
2005,SBC,8/26/2004,Upper,125,45,36.8,231,
2005,SBC,8/30/2004,Upper,137,46,34.3,152,
2005,SBC,8/6/2004,Upper,199,84,42.7,121,
2005,SBC,11/7/2004,Upper,158,65,41.8,150,
2005,SBC,11/11/2004,Upper,153,47,31.4,232,
2005,SBC,11/26/2004,Upper,146,61,42.5,152,
2005,SBC,11/27/2004,Upper,200,69,35,269,
2005,SBC,11/3/2003,Upper,189,50,27,294,
2005,SBC,10/31/2003,Upper,123,39,32.5,343,
2005,SBC,11/9/2002,Upper,200,92,46.5,96,
2004,YCW,3/29/2004,Lower,200,22,11.5,517,
2004,YCW,4/6/2004,Lower,149,9,6.7,691,
2004,YCW,4/1/2004,Lower,200,25,13,527,
2004,YCW,4/8/2004,Lower,200,5,3,920,
2004,YCW,4/10/2004,Lower,189,9,5.3,1024,
2004,YCW,4/12/2004,Lower,200,7,4,1195,
2004,YCW,4/17/2004,Lower,82,3,4.9,1185,
2004,YCW,3/15/2004,Upper,95,11,12.6,343,
2004,YCW,3/18/2004,Upper,118,9,8.5,395,
2004,YCW,3/21/2004,Upper,133,13,10.5,387,
2004,YCW,3/24/2004,Upper,119,4,4.2,514,
2004,SBC,7/16/2002,Lower,181,10,6.1,1180,
2004,SBC,7/19/2002,Lower,200,25,13,1075,
2004,SBC,7/21/2002,Lower,200,27,14,926,
2004,SBC,7/30/2002,Lower,200,39,20,647,
2004,SBC,8/2/2002,Lower,200,52,26.5,468,
2004,SBC,8/8/2002,Lower,200,53,27,404,
2004,SBC,7/10/2003,Lower,188,28,15.4,639,
2004,SBC,7/14/2003,Lower,107,18,17.8,535,
2004,SBC,7/18/2003,Lower,200,38,19.5,436,
2004,SBC,7/27/2003,Lower,200,56,28.5,321,
2004,SBC,7/30/2003,Lower,200,46,23.5,287,
2004,SBC,7/12/2004,Upper,115,21,19.1,335,
2004,SBC,8/6/2004,Upper,119,44,37.8,199,
2004,SBC,8/26/2004,Upper,125,45,36.8,231,
2004,SBC,8/30/2004,Upper,137,46,34.3,152,
2004,SBC,8/6/2004,Upper,199,84,42.7,121,
2004,SBC,11/7/2004,Upper,158,65,41.8,150,
2004,SBC,11/11/2004,Upper,153,47,31.4,232,
2004,SBC,11/26/2004,Upper,146,61,42.5,152,
2004,SBC,11/27/2004,Upper,200,69,35,269,
2004,SBC,11/3/2003,Upper,189,50,27,294,
2004,SBC,10/31/2003,Upper,123,39,32.5,343,
2004,SBC,11/9/2002,Upper,200,92,46.5,96,
2003,YCW,4/7/2002,Lower,140,10,7.9,338,
2003,YCW,4/11/2002,Lower,122,13,11.5,434,
2003,YCW,4/18/2002,Lower,145,6,4.8,714,
2003,YCW,5/7/2002,Lower,98,9,10.2,1120,crossed out on datasheet
2003,YCW,3/26/2003,Lower,105,19,19,276,
2003,YCW,4/2/2003,Lower,105,12,12.4,493,
2003,YCW,4/5/2003,Lower,105,12,12.4,417,
2003,YCW,4/16/2003,Lower,50,8,18,610,
2003,YCW,4/25/2003,Lower,125,2,2.4,1083,
2003,YCW,4/27/2003,Lower,94,10,11.7,927,
2003,YCW,4/30/2003,Lower,59,5,10.2,854,
2003,YCW,5/14/2003,Lower,33,4,15.2,1100,
2003,YCW,5/27/2004,Lower,73,6,9.6,1675,
2003,YCW,4/17/2004,Lower,82,3,4.9,1185,
2003,YCW,4/12/2004,Lower,200,7,4,1195,
2003,YCW,4/10/2004,Lower,189,9,5.3,1024,
2003,YCW,4/8/2004,Lower,200,5,3,920,
2003,YCW,4/6/2004,Lower,149,9,6.7,691,
2003,YCW,4/1/2004,Lower,200,25,13,527,
2003,YCW,3/29/2004,Lower,200,22,11.5,517,
2003,YCW,3/22/2000,Lower,37,3,10.8,155,
2003,YCW,3/26/2000,Lower,45,4,11.1,159,
2003,YCW,3/30/2000,Lower,85,11,14.1,182,
2003,YCW,4/1/2000,Lower,89,10,12.4,244,
2003,YCW,4/3/2000,Lower,192,26,14.1,421,
2003,YCW,4/5/2000,Lower,200,25,13,566,
2003,YCW,4/8/2000,Lower,161,22,14.3,466,
2003,YCW,4/13/2000,Lower,129,13,10.9,801,
2003,YCW,4/17/2000,Lower,95,7,8.4,1090,
2003,YCW,4/21/2000,Lower,82,5,7.3,1250,
2003,YCW,4/25/2000,Lower,31,1,6.5,1270,
2003,YCW,4/29/2000,Lower,53,1,3.8,1100,
2003,YCW,5/2/2000,Lower,90,9,11.1,1050,
2003,YCW,5/5/2000,Lower,107,4,4.7,1269,
2003,YCW,5/19/2000,Lower,50,1,4,1620,
2003,YCW,3/11/2005,Lower,100,22,23,391,
2003,YCW,3/20/2005,Lower,170,18,11.2,343,
2003,YCW,4/4/2005,Lower,200,60,30.5,294,
2003,YCW,4/24/2005,Lower,200,23,12,754,
2003,YCW,4/27/2005,Lower,124,4,4,1303,
2003,SBC,7/30/2002,Lower,200,39,20,667,
2003,SBC,7/21/2002,Lower,200,27,14,909,
2003,SBC,7/16/2002,Lower,181,10,6.1,1239,
2003,SBC,8/2/2002,Lower,200,52,26.5,468,
2003,SBC,8/8/2002,Lower,200,53,27,361,
2003,SBC,7/12/2004,Upper,115,21,19.1,335,
2003,SBC,8/6/2004,Upper,119,44,37.8,199,
2003,SBC,8/26/2004,Upper,125,45,36.8,231,
2003,SBC,8/30/2004,Upper,137,46,34.3,152,
2003,SBC,8/6/2004,Upper,199,84,42.7,121,
2003,SBC,11/7/2004,Upper,158,65,41.8,150,
2003,SBC,11/11/2004,Upper,153,47,31.4,232,
2003,SBC,11/26/2004,Upper,146,61,42.5,152,
2003,SBC,11/27/2004,Upper,200,69,35,269,
2003,SBC,11/3/2003,Upper,189,50,27,294,
2003,SBC,10/31/2003,Upper,123,39,32.5,343,
2003,SBC,11/9/2002,Upper,200,92,46.5,96,
2002,YCW,4/7/2002,Lower,140,10,7.9,338,
2002,YCW,4/11/2002,Lower,122,13,11.5,434,
2002,YCW,4/18/2002,Lower,145,6,4.8,714,
2002,YCW,5/7/2002,Lower,98,9,10.2,1120,
2002,YCW,3/26/2003,Lower,105,19,19,276,
2002,YCW,4/2/2003,Lower,105,12,12.4,493,
2002,YCW,4/5/2003,Lower,105,12,12.4,417,
2002,YCW,4/16/2003,Lower,50,8,18,610,
2002,YCW,4/25/2003,Lower,125,2,2.4,1083,
2002,YCW,4/27/2003,Lower,94,10,11.7,927,
2002,YCW,4/30/2003,Lower,59,5,10.2,854,
2002,YCW,5/14/2003,Lower,33,4,15.2,1100,
2002,YCW,5/27/2004,Lower,73,6,9.6,1675,
2002,YCW,4/17/2004,Lower,82,3,4.9,1185,
2002,YCW,4/12/2004,Lower,200,7,4,1195,
2002,YCW,4/10/2004,Lower,189,9,5.3,1024,
2002,YCW,4/8/2004,Lower,200,5,3,920,
2002,YCW,4/6/2004,Lower,149,9,6.7,691,
2002,YCW,4/1/2004,Lower,200,25,13,527,
2002,YCW,3/29/2004,Lower,200,22,11.5,517,
2002,YCW,3/22/2000,Lower,37,3,10.8,155,
2002,YCW,3/26/2000,Lower,45,4,11.1,159,
2002,YCW,3/30/2000,Lower,85,11,14.1,182,
2002,YCW,4/1/2000,Lower,89,10,12.4,244,
2002,YCW,4/3/2000,Lower,192,26,14.1,421,
2002,YCW,4/5/2000,Lower,200,25,13,566,
2002,YCW,4/8/2000,Lower,161,22,14.3,466,
2002,YCW,4/13/2000,Lower,129,13,10.9,801,
2002,YCW,4/17/2000,Lower,95,7,8.4,1090,
2002,YCW,4/21/2000,Lower,82,5,7.3,1250,
2002,YCW,4/25/2000,Lower,31,1,6.5,1270,
2002,YCW,4/29/2000,Lower,53,1,3.8,1100,
2002,YCW,5/2/2000,Lower,90,9,11.1,1050,
2002,YCW,5/5/2000,Lower,107,4,4.7,1269,
2002,YCW,5/19/2000,Lower,50,1,4,1620,
2002,YCW,3/11/2005,Lower,100,22,23,391,
2002,YCW,3/20/2005,Lower,170,18,11.2,343,
2002,YCW,4/4/2005,Lower,200,60,30.5,294,
2002,YCW,4/24/2005,Lower,200,23,12,754,
2002,YCW,4/27/2005,Lower,124,4,4,1303,
2002,SBC,7/16/2002,Lower,181,10,6.1,1239,
2002,SBC,7/19/2002,Lower,200,25,13,1136,
2002,SBC,7/21/2002,Lower,200,27,14,909,
2002,SBC,7/30/2002,Lower,200,39,20,667,RE should be 39 not 44
2002,SBC,8/2/2002,Lower,200,52,26.5,468,
2002,SBC,7/12/2004,Upper,115,21,19.1,335,
2002,SBC,8/6/2004,Upper,119,44,37.8,199,
2002,SBC,8/26/2004,Upper,125,45,36.8,231,
2002,SBC,8/30/2004,Upper,137,46,34.3,152,
2002,SBC,8/6/2004,Upper,199,84,42.7,121,
2002,SBC,11/7/2004,Upper,158,65,41.8,150,
2002,SBC,11/11/2004,Upper,153,47,31.4,232,
2002,SBC,11/26/2004,Upper,146,61,42.5,152,
2002,SBC,11/27/2004,Upper,200,69,35,269,
2002,SBC,11/3/2003,Upper,189,50,27,294,
2002,SBC,10/31/2003,Upper,123,39,32.5,343,
2002,SBC,11/9/2002,Upper,200,92,46.5,96,
