To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

45K090--White R. nr Plain

DATE         Discharge (cfs)   QUALITY
----------   ---------------   -------
10/01/2017               131       140
10/02/2017               120       140
10/03/2017              99.9       140
10/04/2017              90.3       140
10/05/2017              84.2       140
10/06/2017              81.1       140
10/07/2017               123       140
10/08/2017               122       140
10/09/2017               107       140
10/10/2017               102       140
10/11/2017              97.9       140
10/12/2017              91.3       140
10/13/2017              92.8       140
10/14/2017              87.6       140
10/15/2017              89.3       140
10/16/2017               100       140
10/17/2017               208       140
10/18/2017               507       140
10/19/2017              1570       140
10/20/2017               506       140
10/21/2017               379       140
10/22/2017              1150       140
10/23/2017               691       140
10/24/2017               577       140
10/25/2017               680       140
10/26/2017               780       140
10/27/2017               638       140
10/28/2017               706       140
10/29/2017               693       140
10/30/2017               584       140
10/31/2017               497       140
11/01/2017               472       140
11/02/2017               430       140
11/03/2017               391       140
11/04/2017               355       140
11/05/2017               332       140
11/06/2017               312       140
11/07/2017               291       140
11/08/2017               278       140
11/09/2017               271       140
11/10/2017               263       140
11/11/2017               254       140
11/12/2017               247       140
11/13/2017               259       140
11/14/2017               270       140
11/15/2017               268       140
11/16/2017               259       140
11/17/2017               250       140
11/18/2017               237       140
11/19/2017               233       140
11/20/2017               324       140
11/21/2017               441       140
11/22/2017              4160       140
11/23/2017              7090       140
11/24/2017              4250       140
11/25/2017              2330       140
11/26/2017              1930       140
11/27/2017              1610       140
11/28/2017              1320       140
11/29/2017              1110       140
11/30/2017               973       140
12/01/2017               870       140
12/02/2017               797       140
12/03/2017               720       140
12/04/2017               650       140
12/05/2017               603       140
12/06/2017               567       140
12/07/2017               534       140
12/08/2017               504       140
12/09/2017               478       140
12/10/2017               456       140
12/11/2017               437       140
12/12/2017               421       140
12/13/2017               409       140
12/14/2017               392       140
12/15/2017               382       140
12/16/2017               367       140
12/17/2017               361       140
12/18/2017               467       140
12/19/2017               427       140
12/20/2017               391       140
12/21/2017               365       140
12/22/2017               359       140
12/23/2017               338       140
12/24/2017               333       140
12/25/2017               325       140
12/26/2017               317       140
12/27/2017               309       140
12/28/2017               309       140
12/29/2017               335       140
12/30/2017               320       140
12/31/2017               302       140
01/01/2018               286       140
01/02/2018               278       140
01/03/2018               269       140
01/04/2018               263       140
01/05/2018               265       140
01/06/2018               259       140
01/07/2018               257       140
01/08/2018               253       140
01/09/2018               252       140
01/10/2018               245       140
01/11/2018               248       140
01/12/2018               252       140
01/13/2018               251       140
01/14/2018               257       140
01/15/2018               254       140
01/16/2018               275       140
01/17/2018               276       140
01/18/2018               276       140
01/19/2018               272       140
01/20/2018               268       140
01/21/2018               267       140
01/22/2018               266       140
01/23/2018               266       140
01/24/2018               262       140
01/25/2018               254       140
01/26/2018               262       140
01/27/2018               257       140
01/28/2018               256       140
01/29/2018               283       140
01/30/2018               351       140
01/31/2018               313       140
02/01/2018               303       140
02/02/2018               326       140
02/03/2018               459       140
02/04/2018               997       140
