To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

45K090--White R. nr Plain

DATE         TIME    FLOW (cfs)   QUALITY
----------   -----   ----------   -------
10/01/2004   00:00          239         8
10/02/2004   00:00          223         8
10/03/2004   00:00          217         8
10/04/2004   00:00          207         8
10/05/2004   00:00          197         8
10/06/2004   00:00          265         8
10/07/2004   00:00          233         8
10/08/2004   00:00          230         8
10/09/2004   00:00          350         1
10/10/2004   00:00          285         1
10/11/2004   00:00          247         1
10/12/2004   00:00          238         1
10/13/2004   00:00          232         8
10/14/2004   00:00          236         8
10/15/2004   00:00          244         8
10/16/2004   00:00          259         1
10/17/2004   00:00          394         1
10/18/2004   00:00          377         1
10/19/2004   00:00          325         1
10/20/2004   00:00          312         1
10/21/2004   00:00          342         1
10/22/2004   00:00          330         1
10/23/2004   00:00          342         1
10/24/2004   00:00          313         1
10/25/2004   00:00          293         1
10/26/2004   00:00          279         1
10/27/2004   00:00          268         1
10/28/2004   00:00          263         1
10/29/2004   00:00          251         1
10/30/2004   00:00          283         1
10/31/2004   00:00          265         1
11/01/2004   00:00          260         1
11/02/2004   00:00         1130         1
11/03/2004   00:00          695        82
11/04/2004   00:00          559         1
11/05/2004   00:00          510         1
11/06/2004   00:00          486         1
11/07/2004   00:00          620         1
11/08/2004   00:00          627         1
11/09/2004   00:00          561         1
11/10/2004   00:00          519         1
11/11/2004   00:00          491         1
11/12/2004   00:00          461         1
11/13/2004   00:00          435         1
11/14/2004   00:00          419         1
11/15/2004   00:00          411         1
11/16/2004   00:00          393         1
11/17/2004   00:00          370         1
11/18/2004   00:00          361         1
11/19/2004   00:00          348         1
11/20/2004   00:00          324         1
11/21/2004   00:00          316         1
11/22/2004   00:00          318         1
11/23/2004   00:00          313         1
11/24/2004   00:00          484         1
11/25/2004   00:00         1200         1
11/26/2004   00:00          699         1
11/27/2004   00:00          604         1
11/28/2004   00:00          527         1
11/29/2004   00:00          485         1
11/30/2004   00:00          463         1
12/01/2004   00:00          427         1
12/02/2004   00:00          398         1
12/03/2004   00:00          383         1
12/04/2004   00:00          374         1
12/05/2004   00:00          355         1
12/06/2004   00:00          336         1
12/07/2004   00:00          330         1
12/08/2004   00:00          325         1
12/09/2004   00:00          314         1
12/10/2004   00:00         1530        10
12/11/2004   00:00      No Data       254
12/12/2004   00:00         1580         1
12/13/2004   00:00         1190         1
12/14/2004   00:00         1050         1
12/15/2004   00:00          930         1
12/16/2004   00:00          809         1
12/17/2004   00:00          737         1
12/18/2004   00:00          726         1
12/19/2004   00:00          817         1
12/20/2004   00:00          759         1
12/21/2004   00:00          684         1
12/22/2004   00:00          632         1
12/23/2004   00:00          588         1
12/24/2004   00:00          562         1
12/25/2004   00:00          555         1
12/26/2004   00:00          524         1
12/27/2004   00:00          491         1
12/28/2004   00:00          463         1
12/29/2004   00:00          451         1
12/30/2004   00:00          429         1
12/31/2004   00:00          406         1
01/01/2005   00:00          389         1
01/02/2005   00:00          367         1
01/03/2005   00:00          345         1
01/04/2005   00:00          333         1
01/05/2005   00:00          335         1
01/06/2005   00:00          310         1
01/07/2005   00:00          305         1
01/08/2005   00:00          299         1
01/09/2005   00:00          287         1
01/10/2005   00:00          273         1
01/11/2005   00:00          258         1
01/12/2005   00:00          260         1
01/13/2005   00:00          248         1
01/14/2005   00:00          234         8
01/15/2005   00:00          276         1
01/16/2005   00:00          269         1
01/17/2005   00:00          292         1
01/18/2005   00:00      No Data       254
01/19/2005   00:00      No Data       254
01/20/2005   00:00         2640        10
01/21/2005   00:00         2450        10
01/22/2005   00:00         2020        10
01/23/2005   00:00         2580        10
01/24/2005   00:00         2090         1
01/25/2005   00:00         1710         1
01/26/2005   00:00         1430         1
01/27/2005   00:00         1240         1
01/28/2005   00:00         1090         1
01/29/2005   00:00          959         1
01/30/2005   00:00          859         1
01/31/2005   00:00          836         1
02/01/2005   00:00          764         1
02/02/2005   00:00          708         1
02/03/2005   00:00          680         1
02/04/2005   00:00          726         1
02/05/2005   00:00          689         1
02/06/2005   00:00          634         1
02/07/2005   00:00          598         1
02/08/2005   00:00          563         1
02/09/2005   00:00          539         1
02/10/2005   00:00          514         1
02/11/2005   00:00          490         1
02/12/2005   00:00          471         1
02/13/2005   00:00          448         1
02/14/2005   00:00          427         1
02/15/2005   00:00          396         1
02/16/2005   00:00          378         1
02/17/2005   00:00          365         1
02/18/2005   00:00          351         1
02/19/2005   00:00          341         1
02/20/2005   00:00          324         1
02/21/2005   00:00          311         1
02/22/2005   00:00          302         1
02/23/2005   00:00          295         1
02/24/2005   00:00          289         1
02/25/2005   00:00          285         1
02/26/2005   00:00          283         1
02/27/2005   00:00          280         1
02/28/2005   00:00          282         1
03/01/2005   00:00          279         1
03/02/2005   00:00          275         1
03/03/2005   00:00          270         1
03/04/2005   00:00          266         1
03/05/2005   00:00          265         1
03/06/2005   00:00          266         1
03/07/2005   00:00          307         1
03/08/2005   00:00          349         1
03/09/2005   00:00          413         1
03/10/2005   00:00          446         1
03/11/2005   00:00          472         1
03/12/2005   00:00          573         1
03/13/2005   00:00          507         1
03/14/2005   00:00          468         1
03/15/2005   00:00          445         1
03/16/2005   00:00          436         1
03/17/2005   00:00          419         1
03/18/2005   00:00          391         1
03/19/2005   00:00          372         1
03/20/2005   00:00          367         1
03/21/2005   00:00          363         1
03/22/2005   00:00          336         1
03/23/2005   00:00          322         1
03/24/2005   00:00          308         1
03/25/2005   00:00          295         1
03/26/2005   00:00          303         1
03/27/2005   00:00          318         1
03/28/2005   00:00          314         1
03/29/2005   00:00          309         1
03/30/2005   00:00          301         1
03/31/2005   00:00          291         1
04/01/2005   00:00          323         1
04/02/2005   00:00          313         1
04/03/2005   00:00          307         1
04/04/2005   00:00          300         1
04/05/2005   00:00          292         1
04/06/2005   00:00          299         1
04/07/2005   00:00          354         1
04/08/2005   00:00          364         1
04/09/2005   00:00          357         1
04/10/2005   00:00          351         1
04/11/2005   00:00          371         1
04/12/2005   00:00          353         1
04/13/2005   00:00          339         1
04/14/2005   00:00          334         1
04/15/2005   00:00          331         1
04/16/2005   00:00          353         1
04/17/2005   00:00          345         1
04/18/2005   00:00          337         1
04/19/2005   00:00          357         1
04/20/2005   00:00          406         1
04/21/2005   00:00          495         1
04/22/2005   00:00          670         1
04/23/2005   00:00          856         1
04/24/2005   00:00         1230         1
04/25/2005   00:00         1410         1
04/26/2005   00:00         1610         1
04/27/2005   00:00         1830         1
04/28/2005   00:00         1510         1
04/29/2005   00:00         1190         1
04/30/2005   00:00         1030         1
05/01/2005   00:00          977         1
05/02/2005   00:00          955         1
05/03/2005   00:00          998         1
05/04/2005   00:00         1020         1
05/05/2005   00:00         1070         1
05/06/2005   00:00         1180         1
05/07/2005   00:00         1110         1
05/08/2005   00:00         1020         1
05/09/2005   00:00         1350         1
05/10/2005   00:00         1820         1
05/11/2005   00:00         1490         1
05/12/2005   00:00         1430         1
05/13/2005   00:00         1360         1
05/14/2005   00:00         1500         1
05/15/2005   00:00         1560         1
05/16/2005   00:00         1450         1
05/17/2005   00:00         1100         1
05/18/2005   00:00          992         1
05/19/2005   00:00          983         1
05/20/2005   00:00          832         1
05/21/2005   00:00          745         1
05/22/2005   00:00          719         1
05/23/2005   00:00          641         1
05/24/2005   00:00          622         1
05/25/2005   00:00          655         1
05/26/2005   00:00          773         1
05/27/2005   00:00          953         1
05/28/2005   00:00         1170         1
05/29/2005   00:00         1490         1
05/30/2005   00:00         1560         1
05/31/2005   00:00         1340         1
06/01/2005   00:00         1010         1
06/02/2005   00:00          840         1
06/03/2005   00:00          795         1
06/04/2005   00:00          744         1
06/05/2005   00:00          741         1
06/06/2005   00:00          609         1
06/07/2005   00:00          546         1
06/08/2005   00:00          522         1
06/09/2005   00:00          499         1
06/10/2005   00:00          531         1
06/11/2005   00:00          562         1
06/12/2005   00:00          522         1
06/13/2005   00:00          481         1
06/14/2005   00:00          451         1
06/15/2005   00:00          436         1
06/16/2005   00:00          446         1
06/17/2005   00:00          551         1
06/18/2005   00:00          521         1
06/19/2005   00:00          502         1
06/20/2005   00:00          564         1
06/21/2005   00:00          660         1
06/22/2005   00:00          722         1
06/23/2005   00:00          595         1
06/24/2005   00:00          563         1
06/25/2005   00:00          559         1
06/26/2005   00:00          562         1
06/27/2005   00:00          584         1
06/28/2005   00:00          534         1
06/29/2005   00:00          554         1
06/30/2005   00:00          572         1
07/01/2005   00:00          514         1
07/02/2005   00:00          464         1
07/03/2005   00:00          395         1
07/04/2005   00:00          395         1
07/05/2005   00:00          417         1
07/06/2005   00:00          605         1
07/07/2005   00:00          437         1
07/08/2005   00:00          472         1
07/09/2005   00:00          592         1
07/10/2005   00:00          391         1
07/11/2005   00:00          364         1
07/12/2005   00:00          376         1
07/13/2005   00:00          367         1
07/14/2005   00:00          338         1
07/15/2005   00:00          344         1
07/16/2005   00:00          388         1
07/17/2005   00:00          348         1
07/18/2005   00:00          341         1
07/19/2005   00:00          358         1
07/20/2005   00:00          311         1
07/21/2005   00:00          290         1
07/22/2005   00:00          331         1
07/23/2005   00:00          321         1
07/24/2005   00:00          276         1
07/25/2005   00:00          260         1
07/26/2005   00:00          258         1
07/27/2005   00:00          260         1
07/28/2005   00:00          271         1
07/29/2005   00:00          276         1
07/30/2005   00:00          255         8
07/31/2005   00:00          243         8
08/01/2005   00:00          233         8
08/02/2005   00:00          203         8
08/03/2005   00:00          192         8
08/04/2005   00:00          194         8
08/05/2005   00:00          200         8
08/06/2005   00:00          227         8
08/07/2005   00:00          235         8
08/08/2005   00:00          235         8
08/09/2005   00:00          242         8
08/10/2005   00:00          241        50
08/11/2005   00:00          226        50
08/12/2005   00:00          239        50
08/13/2005   00:00          223        50
08/14/2005   00:00          207        50
08/15/2005   00:00          213        50
08/16/2005   00:00          219        50
08/17/2005   00:00          234        50
08/18/2005   00:00          198        50
08/19/2005   00:00          167        50
08/20/2005   00:00          170        50
08/21/2005   00:00          176        50
08/22/2005   00:00          171        50
08/23/2005   00:00          134       161
08/24/2005   00:00         99.5       161
08/25/2005   00:00          102       161
08/26/2005   00:00          113       161
08/27/2005   00:00          124       161
08/28/2005   00:00          140       161
08/29/2005   00:00          161        50
08/30/2005   00:00          120       161
08/31/2005   00:00          112       161
09/01/2005   00:00          138       161
09/02/2005   00:00          161        50
09/03/2005   00:00          149       161
09/04/2005   00:00          120       161
09/05/2005   00:00          102       161
09/06/2005   00:00          102       161
09/07/2005   00:00          107       161
09/08/2005   00:00          122       161
09/09/2005   00:00          148       161
09/10/2005   00:00          118       161
09/11/2005   00:00          102       161
09/12/2005   00:00         89.4       161
09/13/2005   00:00         87.0       161
09/14/2005   00:00         91.7       161
09/15/2005   00:00          100       161
09/16/2005   00:00         94.1       161
09/17/2005   00:00         93.4       161
09/18/2005   00:00         93.2       161
09/19/2005   00:00         93.8       161
09/20/2005   00:00         81.7       161
09/21/2005   00:00         75.5         8
09/22/2005   00:00         74.3         8
09/23/2005   00:00         68.9         8
09/24/2005   00:00         67.0         8
09/25/2005   00:00         68.1         8
09/26/2005   00:00         74.6         8
09/27/2005   00:00         81.5         8
09/28/2005   00:00         76.7         8
09/29/2005   00:00          269         8
09/30/2005   00:00          804         1

Quality Codes Key:
1 - Good quality REVIEWED data
8 - Below rating
10 - Above rating, but within 2x
50 - Estimated data
82 - Linear interpolation across gap in records.
161 - Below rating, less than 1/2x
254 - Rating table exceeded (data will not be reported)
