To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

45K090--White R. nr Plain

DATE         TIME    FLOW (cfs)   QUALITY
----------   -----   ----------   -------
10/01/2009   00:00          114         1
10/02/2009   00:00          122         1
10/03/2009   00:00          117         1
10/04/2009   00:00          110         1
10/05/2009   00:00          105         1
10/06/2009   00:00          102         1
10/07/2009   00:00          101         1
10/08/2009   00:00         99.2         1
10/09/2009   00:00         97.2         1
10/10/2009   00:00         95.3         1
10/11/2009   00:00         93.5         1
10/12/2009   00:00         91.8         1
10/13/2009   00:00         90.9         1
10/14/2009   00:00          101         1
10/15/2009   00:00          120         1
10/16/2009   00:00          141         1
10/17/2009   00:00          965         1
10/18/2009   00:00          577         1
10/19/2009   00:00          319         1
10/20/2009   00:00          246         1
10/21/2009   00:00          223         1
10/22/2009   00:00          270         1
10/23/2009   00:00          688         1
10/24/2009   00:00          667         1
10/25/2009   00:00          392         1
10/26/2009   00:00          918         1
10/27/2009   00:00          607         1
10/28/2009   00:00          480         1
10/29/2009   00:00          439         1
10/30/2009   00:00         1320         1
10/31/2009   00:00         2190         1
11/01/2009   00:00         1030         1
11/02/2009   00:00          748         1
11/03/2009   00:00          617         1
11/04/2009   00:00          539         1
11/05/2009   00:00          501         1
11/06/2009   00:00          567        82
11/07/2009   00:00          517         1
11/08/2009   00:00          473         1
11/09/2009   00:00          444         1
11/10/2009   00:00          426         1
11/11/2009   00:00          407         1
11/12/2009   00:00          378         1
11/13/2009   00:00          368         1
11/14/2009   00:00          345         1
11/15/2009   00:00          340         1
11/16/2009   00:00          338         1
11/17/2009   00:00          377         1
11/18/2009   00:00          369         1
11/19/2009   00:00          358         1
11/20/2009   00:00          348         1
11/21/2009   00:00          340         1
11/22/2009   00:00          329         1
11/23/2009   00:00          318         1
11/24/2009   00:00          346         1
11/25/2009   00:00          363         1
11/26/2009   00:00          390         1
11/27/2009   00:00          437         1
11/28/2009   00:00          407         1
11/29/2009   00:00          400         1
11/30/2009   00:00          408         1
12/01/2009   00:00          400         1
12/02/2009   00:00          383        50
12/03/2009   00:00          366        50
12/04/2009   00:00          354        50
12/05/2009   00:00          338        50
12/06/2009   00:00          325        50
12/07/2009   00:00      No Data       250
