To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

45K090--White R. nr Plain

DATE         Discharge (cfs)   QUALITY
----------   ---------------   -------
10/01/2015               110         2
10/02/2015               112         2
10/03/2015               110         8
10/04/2015               103         8
10/05/2015              99.0         8
10/06/2015              94.4         8
10/07/2015               125         8
10/08/2015               204         2
10/09/2015               155         2
10/10/2015               421         2
10/11/2015               625         2
10/12/2015               272         2
10/13/2015               277         2
10/14/2015               214         2
10/15/2015               181         2
10/16/2015               161         2
10/17/2015               164         2
10/18/2015               175         2
10/19/2015               193         2
10/20/2015               161         2
10/21/2015               142         2
10/22/2015               130         2
10/23/2015               120         2
10/24/2015               113         2
10/25/2015               110         2
10/26/2015               127         2
10/27/2015               133         2
10/28/2015               123         2
10/29/2015               202         2
10/30/2015               670         2
10/31/2015              3430         2
11/01/2015              2040         2
11/02/2015              1140         2
11/03/2015               800         2
11/04/2015               635         2
11/05/2015               558         2
11/06/2015               490         2
11/07/2015               494         2
11/08/2015               594         2
11/09/2015               532         2
11/10/2015               473         2
11/11/2015               471         2
11/12/2015               440         2
11/13/2015              3100         2
11/14/2015              3820         2
11/15/2015              2230         2
11/16/2015              1520         2
11/17/2015              3600        10
11/18/2015              4120        10
11/19/2015              2250         2
11/20/2015              1630         2
11/21/2015              1290         2
11/22/2015              1090         2
11/23/2015               948         2
11/24/2015               844         2
11/25/2015               739         2
11/26/2015               665         2
11/27/2015               609         2
11/28/2015               566         2
11/29/2015               531         2
11/30/2015               494         2
12/01/2015               474         2
12/02/2015               456         2
12/03/2015               444         2
12/04/2015               425         2
12/05/2015               411         2
12/06/2015               407         2
12/07/2015               416         2
12/08/2015              1590         2
12/09/2015              2950         2
12/10/2015              1850         2
12/11/2015              1450         2
12/12/2015              1220         2
12/13/2015              1080         2
12/14/2015               934         2
12/15/2015               835         2
12/16/2015               767         2
12/17/2015               716         2
12/18/2015               683         2
12/19/2015               631         2
12/20/2015               598         2
12/21/2015               571         2
12/22/2015               544         2
12/23/2015               528         2
12/24/2015               498         2
12/25/2015               464         2
