To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

45K090--White R. nr Plain

DATE         TIME    FLOW (cfs)   QUALITY
----------   -----   ----------   -------
10/01/2006   00:00         96.6        50
10/02/2006   00:00         88.1        50
10/03/2006   00:00         82.9         8
10/04/2006   00:00         78.2         8
10/05/2006   00:00         83.3         8
10/06/2006   00:00         84.6         8
10/07/2006   00:00         77.0         8
10/08/2006   00:00         74.6         8
10/09/2006   00:00         75.4         8
10/10/2006   00:00         70.3         8
10/11/2006   00:00         71.7         8
10/12/2006   00:00         73.0         8
10/13/2006   00:00         77.9         8
10/14/2006   00:00         73.1        50
10/15/2006   00:00         73.8        50
10/16/2006   00:00         84.1         8
10/17/2006   00:00         67.3         8
10/18/2006   00:00         54.0         8
10/19/2006   00:00         67.9         8
10/20/2006   00:00         91.2         8
10/21/2006   00:00         64.5         8
10/22/2006   00:00         57.1         8
10/23/2006   00:00         56.2         8
10/24/2006   00:00         58.0        50
10/25/2006   00:00         65.1        50
10/26/2006   00:00         66.8         8
10/27/2006   00:00         78.1         8
10/28/2006   00:00         93.7         1
10/29/2006   00:00         87.1         1
10/30/2006   00:00         82.9         8
10/31/2006   00:00         73.4         8
11/01/2006   00:00         69.8         8
11/02/2006   00:00         76.8         8
11/03/2006   00:00          151         8
11/04/2006   00:00          896         1
11/05/2006   00:00          822         1
11/06/2006   00:00         6640        10
11/07/2006   00:00         8510        10
11/08/2006   00:00         4670        10
11/09/2006   00:00         2270         1
11/10/2006   00:00         1550         1
11/11/2006   00:00         1290         1
11/12/2006   00:00         1130         1
11/13/2006   00:00         1030         1
11/14/2006   00:00          891         1
11/15/2006   00:00          907         1
11/16/2006   00:00         1080         1
11/17/2006   00:00          856         1
11/18/2006   00:00          759         1
11/19/2006   00:00          724         1
11/20/2006   00:00          707         1
11/21/2006   00:00          668         1
11/22/2006   00:00          634         1
11/23/2006   00:00          615         1
11/24/2006   00:00          582         1
11/25/2006   00:00          543         1
11/26/2006   00:00          517         1
11/27/2006   00:00          494         1
11/28/2006   00:00          452         1
11/29/2006   00:00          416         1
11/30/2006   00:00          426         1
12/01/2006   00:00          413         1
12/02/2006   00:00          385         1
12/03/2006   00:00          370         1
12/04/2006   00:00          359         1
12/05/2006   00:00          351         1
12/06/2006   00:00          338         1
12/07/2006   00:00          327         1
12/08/2006   00:00          319         1
12/09/2006   00:00          312         1
12/10/2006   00:00          310         1
12/11/2006   00:00          316         1
12/12/2006   00:00          310         1
12/13/2006   00:00          319         1
12/14/2006   00:00          314         1
12/15/2006   00:00          313         1
12/16/2006   00:00          302         1
12/17/2006   00:00          295         1
12/18/2006   00:00          313         1
12/19/2006   00:00          287         1
12/20/2006   00:00          282         1
12/21/2006   00:00          277         1
12/22/2006   00:00          266         1
12/23/2006   00:00          264         1
12/24/2006   00:00          263         1
12/25/2006   00:00          258         1
12/26/2006   00:00          258         1
12/27/2006   00:00          252         1
12/28/2006   00:00          239         1
12/29/2006   00:00          252         1
12/30/2006   00:00          234         1
12/31/2006   00:00          230         1
01/01/2007   00:00          230         1
01/02/2007   00:00          424         1
01/03/2007   00:00          871         1
01/04/2007   00:00          581         1
01/05/2007   00:00          512         1
01/06/2007   00:00          488         1
01/07/2007   00:00          495         1
01/08/2007   00:00          501         1
01/09/2007   00:00          473         1
01/10/2007   00:00          475        82
01/11/2007   00:00          440         1
01/12/2007   00:00      No Data       250
01/13/2007   00:00      No Data       250
01/14/2007   00:00      No Data       250
01/15/2007   00:00      No Data       250
01/16/2007   00:00          363        50
01/17/2007   00:00          358        50
01/18/2007   00:00          346        50
01/19/2007   00:00          338        50
01/20/2007   00:00          333        50
01/21/2007   00:00          322        50
01/22/2007   00:00          318        50
01/23/2007   00:00          324        50
01/24/2007   00:00          320        50
01/25/2007   00:00          313        50
01/26/2007   00:00          308        50
01/27/2007   00:00          304        50
01/28/2007   00:00      No Data       250
01/29/2007   00:00      No Data       250
01/30/2007   00:00      No Data       250
01/31/2007   00:00      No Data       250
02/01/2007   00:00      No Data       250
02/02/2007   00:00      No Data       250
02/03/2007   00:00      No Data       250
02/04/2007   00:00      No Data       250
02/05/2007   00:00          286        50
02/06/2007   00:00          297        50
02/07/2007   00:00          305        50
02/08/2007   00:00          311        50
02/09/2007   00:00          315        50
02/10/2007   00:00          314        50
02/11/2007   00:00          316        50
02/12/2007   00:00          309        50
02/13/2007   00:00          303        50
02/14/2007   00:00          300        50
02/15/2007   00:00          331        50
02/16/2007   00:00          408        50
02/17/2007   00:00          384         1
02/18/2007   00:00          416         1
02/19/2007   00:00          419         1
02/20/2007   00:00          464         1
02/21/2007   00:00          433         1
02/22/2007   00:00          421         1
02/23/2007   00:00          403         1
02/24/2007   00:00          392         1
02/25/2007   00:00          379         1
02/26/2007   00:00          367         1
02/27/2007   00:00          352         1
02/28/2007   00:00          343         1
03/01/2007   00:00          330         1
03/02/2007   00:00          317         1
03/03/2007   00:00          313         1
03/04/2007   00:00          309         1
03/05/2007   00:00          304         1
03/06/2007   00:00          304         1
03/07/2007   00:00          317         1
03/08/2007   00:00          327         1
03/09/2007   00:00          328         1
03/10/2007   00:00          347         1
03/11/2007   00:00          913         1
03/12/2007   00:00         4250         1
03/13/2007   00:00         2640         1
03/14/2007   00:00         1730         1
03/15/2007   00:00         1350         1
03/16/2007   00:00         1210         1
03/17/2007   00:00         1300         1
03/18/2007   00:00         1630         1
03/19/2007   00:00         1630         1
03/20/2007   00:00         1510         1
03/21/2007   00:00         1290         1
03/22/2007   00:00         1160         1
03/23/2007   00:00         1100         1
03/24/2007   00:00         2610         1
03/25/2007   00:00         3490         1
03/26/2007   00:00         2300         1
