To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

45K090--White R. nr Plain

DATE         TIME    FLOW (cfs)   QUALITY
----------   -----   ----------   -------
10/01/2005   00:00          256         1
10/02/2005   00:00          159         1
10/03/2005   00:00          142         1
10/04/2005   00:00          122         1
10/05/2005   00:00          105         1
10/06/2005   00:00          121         1
10/07/2005   00:00          391         1
10/08/2005   00:00          216         1
10/09/2005   00:00          154         1
10/10/2005   00:00          136         1
10/11/2005   00:00          177         1
10/12/2005   00:00          136         1
10/13/2005   00:00          184         1
10/14/2005   00:00          162         1
10/15/2005   00:00          151         1
10/16/2005   00:00          139         1
10/17/2005   00:00          281         1
10/18/2005   00:00          250         1
10/19/2005   00:00          302         1
10/20/2005   00:00          402         1
10/21/2005   00:00          254         1
10/22/2005   00:00          215         1
10/23/2005   00:00          188         1
10/24/2005   00:00          189         1
10/25/2005   00:00          164         1
10/26/2005   00:00          278         1
10/27/2005   00:00          194         1
10/28/2005   00:00          174         1
10/29/2005   00:00          174         1
10/30/2005   00:00          163         1
10/31/2005   00:00          209         1
11/01/2005   00:00          241         1
11/02/2005   00:00          217         1
11/03/2005   00:00          216         1
11/04/2005   00:00          235         1
11/05/2005   00:00          229         1
11/06/2005   00:00          224         1
11/07/2005   00:00          208         1
11/08/2005   00:00          189         1
11/09/2005   00:00          181         1
11/10/2005   00:00          212         1
11/11/2005   00:00          361         1
11/12/2005   00:00          285         1
11/13/2005   00:00          281         1
11/14/2005   00:00          275         1
11/15/2005   00:00          250         1
11/16/2005   00:00          252         1
11/17/2005   00:00          269         1
11/18/2005   00:00          265         1
11/19/2005   00:00          301         1
11/20/2005   00:00          320         1
11/21/2005   00:00          330         1
11/22/2005   00:00          338         1
11/23/2005   00:00          340         1
11/24/2005   00:00          326         1
11/25/2005   00:00          317         1
11/26/2005   00:00          297         1
11/27/2005   00:00          274         1
11/28/2005   00:00          253         1
11/29/2005   00:00          261         1
11/30/2005   00:00          246         1
12/01/2005   00:00          230         1
12/02/2005   00:00          222         1
12/03/2005   00:00          207         1
12/04/2005   00:00          192         1
12/05/2005   00:00          193         1
12/06/2005   00:00          186         1
12/07/2005   00:00          176         1
12/08/2005   00:00      No Data       250
12/09/2005   00:00      No Data       250
12/10/2005   00:00      No Data       250
12/11/2005   00:00      No Data       250
12/12/2005   00:00      No Data       250
12/13/2005   00:00      No Data       250
12/14/2005   00:00      No Data       250
12/15/2005   00:00      No Data       250
12/16/2005   00:00      No Data       250
12/17/2005   00:00      No Data       250
12/18/2005   00:00      No Data       250
12/19/2005   00:00      No Data       250
12/20/2005   00:00      No Data       250
12/21/2005   00:00      No Data       250
12/22/2005   00:00      No Data       250
12/23/2005   00:00      No Data       250
12/24/2005   00:00         1090        50
12/25/2005   00:00         1980        50
12/26/2005   00:00         1150        50
12/27/2005   00:00          883        50
12/28/2005   00:00          749        50
12/29/2005   00:00          671        50
12/30/2005   00:00          615        50
12/31/2005   00:00          566        50
01/01/2006   00:00          517        50
01/02/2006   00:00          473        50
01/03/2006   00:00          434        50
