To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

45K090--White R. nr Plain

DATE         TIME    FLOW (cfs)   QUALITY
----------   -----   ----------   -------
10/01/2011   00:00          261         1
10/02/2011   00:00          266         1
10/03/2011   00:00          312         1
10/04/2011   00:00          310         1
10/05/2011   00:00          294         1
10/06/2011   00:00          274         1
10/07/2011   00:00          242         1
10/08/2011   00:00          229         1
10/09/2011   00:00          210         1
10/10/2011   00:00          226         1
10/11/2011   00:00          566         1
10/12/2011   00:00          524         1
10/13/2011   00:00          364         1
10/14/2011   00:00          320         1
10/15/2011   00:00          290         1
10/16/2011   00:00          274         1
10/17/2011   00:00          259         1
10/18/2011   00:00          251         1
10/19/2011   00:00          249         1
10/20/2011   00:00          267         1
10/21/2011   00:00          290         1
10/22/2011   00:00          574         1
10/23/2011   00:00          612         1
10/24/2011   00:00          427         1
10/25/2011   00:00          359         1
10/26/2011   00:00          316         1
10/27/2011   00:00          292         1
10/28/2011   00:00          281         1
10/29/2011   00:00          299         1
10/30/2011   00:00          392         1
10/31/2011   00:00          545         1
11/01/2011   00:00          371         1
11/02/2011   00:00          332         1
11/03/2011   00:00          315         1
11/04/2011   00:00          285         1
11/05/2011   00:00          266         1
11/06/2011   00:00          245         1
11/07/2011   00:00          243         1
11/08/2011   00:00          236         1
11/09/2011   00:00          226         1
11/10/2011   00:00          215         1
11/11/2011   00:00          219         1
11/12/2011   00:00          212         1
11/13/2011   00:00          219         1
11/14/2011   00:00          227         1
11/15/2011   00:00          207         1
11/16/2011   00:00          192         1
11/17/2011   00:00          198         1
11/18/2011   00:00          197         1
11/19/2011   00:00          182         1
11/20/2011   00:00          176         1
11/21/2011   00:00          177         1
11/22/2011   00:00      No Data       250
11/23/2011   00:00      No Data       250
11/24/2011   00:00          241        50
11/25/2011   00:00          209        50
11/26/2011   00:00          200        50
11/27/2011   00:00          232        50
11/28/2011   00:00          296        50
11/29/2011   00:00          250        50
11/30/2011   00:00          233        50
12/01/2011   00:00          220        50
12/02/2011   00:00          214        50
12/03/2011   00:00          206        50
12/04/2011   00:00          202        50
12/05/2011   00:00          193        50
12/06/2011   00:00          214        50
12/07/2011   00:00          200        82
12/08/2011   00:00          189         1
12/09/2011   00:00          210         1
12/10/2011   00:00          175         1
12/11/2011   00:00          192         1
12/12/2011   00:00          181         1
