To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

45K090--White R. nr Plain

DATE         TIME    FLOW (cfs)   QUALITY
----------   -----   ----------   -------
10/01/2012   00:00          152         1
10/02/2012   00:00          185         1
10/03/2012   00:00          158         1
10/04/2012   00:00          140         1
10/05/2012   00:00          128         1
10/06/2012   00:00          118         1
10/07/2012   00:00          112         1
10/08/2012   00:00          109         1
10/09/2012   00:00          108         1
10/10/2012   00:00          108         1
10/11/2012   00:00          106         1
10/12/2012   00:00          104         1
10/13/2012   00:00          132         1
10/14/2012   00:00          471         1
10/15/2012   00:00          647         1
10/16/2012   00:00          861         1
10/17/2012   00:00          397         1
10/18/2012   00:00          296         1
10/19/2012   00:00         1110         1
10/20/2012   00:00          671         1
10/21/2012   00:00          446         1
10/22/2012   00:00          362         1
10/23/2012   00:00          322         1
10/24/2012   00:00          293         1
10/25/2012   00:00          267         1
10/26/2012   00:00          258         1
10/27/2012   00:00          275         1
10/28/2012   00:00          742         1
10/29/2012   00:00         2040         1
10/30/2012   00:00         2410         1
10/31/2012   00:00         3350         1
11/01/2012   00:00         1900         1
11/02/2012   00:00         1250         1
11/03/2012   00:00         1180         1
11/04/2012   00:00         1440         1
11/05/2012   00:00         2040         1
11/06/2012   00:00         1180         1
11/07/2012   00:00         1010         1
11/08/2012   00:00          763         1
11/09/2012   00:00          638         1
11/10/2012   00:00          546         1
11/11/2012   00:00          482         1
11/12/2012   00:00          458         1
11/13/2012   00:00          418         1
11/14/2012   00:00          413         1
11/15/2012   00:00          372         1
11/16/2012   00:00          341         1
11/17/2012   00:00          325         1
11/18/2012   00:00          313         1
11/19/2012   00:00          390         1
11/20/2012   00:00          491         1
11/21/2012   00:00          426         1
11/22/2012   00:00          376         1
11/23/2012   00:00          372         1
11/24/2012   00:00          360         1
11/25/2012   00:00          330         1
11/26/2012   00:00          307         1
11/27/2012   00:00          293         1
11/28/2012   00:00          283         1
11/29/2012   00:00          273         1
11/30/2012   00:00          265         1
12/01/2012   00:00          284         1
12/02/2012   00:00          297         1
12/03/2012   00:00          323         1
12/04/2012   00:00          350         1
12/05/2012   00:00          365         1
12/06/2012   00:00          340         1
12/07/2012   00:00          327         1
12/08/2012   00:00          301         1
12/09/2012   00:00          285         1
12/10/2012   00:00          275         1
12/11/2012   00:00          267         1
12/12/2012   00:00          258         1
12/13/2012   00:00          241         1
12/14/2012   00:00          237         1
12/15/2012   00:00          226         1
12/16/2012   00:00      No Data       250
12/17/2012   00:00      No Data       250
12/18/2012   00:00      No Data       250
12/19/2012   00:00      No Data       250
12/20/2012   00:00      No Data       250
12/21/2012   00:00      No Data       250
12/22/2012   00:00      No Data       250
12/23/2012   00:00          204        50
12/24/2012   00:00          198        50
12/25/2012   00:00          192        50
12/26/2012   00:00          187        50
12/27/2012   00:00          182        50
12/28/2012   00:00          175        50
12/29/2012   00:00          169        50
12/30/2012   00:00          164        50
12/31/2012   00:00          157        50
01/01/2013   00:00          151        50
01/02/2013   00:00          149        50
01/03/2013   00:00          144        50
01/04/2013   00:00          144        50
01/05/2013   00:00          143        50
01/06/2013   00:00          141        50
01/07/2013   00:00      No Data       250
01/08/2013   00:00      No Data       250
01/09/2013   00:00      No Data       250
01/10/2013   00:00      No Data       250
01/11/2013   00:00      No Data       250
01/12/2013   00:00      No Data       250
01/13/2013   00:00      No Data       250
01/14/2013   00:00      No Data       250
01/15/2013   00:00      No Data       250
01/16/2013   00:00      No Data       250
01/17/2013   00:00      No Data       250
01/18/2013   00:00      No Data       250
01/19/2013   00:00      No Data       250
01/20/2013   00:00      No Data       250
01/21/2013   00:00      No Data       250
01/22/2013   00:00      No Data       250
01/23/2013   00:00      No Data       250
01/24/2013   00:00          157        50
01/25/2013   00:00          155        50
01/26/2013   00:00          151        50
01/27/2013   00:00          148        50
01/28/2013   00:00          145        50
01/29/2013   00:00          144        50
01/30/2013   00:00          147        50
01/31/2013   00:00          147        50
02/01/2013   00:00          145        50
02/02/2013   00:00          141        50
02/03/2013   00:00          141        50
02/04/2013   00:00          142        50
02/05/2013   00:00          144        50
02/06/2013   00:00          147        50
02/07/2013   00:00          145         8
02/08/2013   00:00          142         8
02/09/2013   00:00          141         8
02/10/2013   00:00          139         8
02/11/2013   00:00          139         8
02/12/2013   00:00          138         8
02/13/2013   00:00          143         8
02/14/2013   00:00          141         8
02/15/2013   00:00          141         8
02/16/2013   00:00          148         8
02/17/2013   00:00          151         8
02/18/2013   00:00          147         8
02/19/2013   00:00          146         8
02/20/2013   00:00          144         8
02/21/2013   00:00          143         8
02/22/2013   00:00          146         8
02/23/2013   00:00          145         8
02/24/2013   00:00          140         8
02/25/2013   00:00          143         8
02/26/2013   00:00          135         8
02/27/2013   00:00          133         8
02/28/2013   00:00          135         8
03/01/2013   00:00          213         8
03/02/2013   00:00          318         1
03/03/2013   00:00          294         1
03/04/2013   00:00          266         1
03/05/2013   00:00          256         1
03/06/2013   00:00          250         1
03/07/2013   00:00          243         1
03/08/2013   00:00          238         1
03/09/2013   00:00          235         1
03/10/2013   00:00          237         1
03/11/2013   00:00          235         1
03/12/2013   00:00          275         1
03/13/2013   00:00          431         1
03/14/2013   00:00          643         1
03/15/2013   00:00          772         1
03/16/2013   00:00          812         1
03/17/2013   00:00          769         1
03/18/2013   00:00          693         1
03/19/2013   00:00          629         1
03/20/2013   00:00          617         1
03/21/2013   00:00          561         1
03/22/2013   00:00          517         1
03/23/2013   00:00          478         1
03/24/2013   00:00          450         1
03/25/2013   00:00          427         1
03/26/2013   00:00          418         1
03/27/2013   00:00          420         1
03/28/2013   00:00          419         1
03/29/2013   00:00          439         1
03/30/2013   00:00          499         1
03/31/2013   00:00          601         1
04/01/2013   00:00          850         1
04/02/2013   00:00         1190         1
04/03/2013   00:00         1320         1
04/04/2013   00:00         1470         1
04/05/2013   00:00         2220         1
04/06/2013   00:00         2280         1
04/07/2013   00:00         1900         1
04/08/2013   00:00         1560         1
04/09/2013   00:00         1340         1
04/10/2013   00:00         1400         1
04/11/2013   00:00         1490         1
04/12/2013   00:00         1300         1
04/13/2013   00:00         1160         1
04/14/2013   00:00         1020         1
04/15/2013   00:00          922         1
04/16/2013   00:00          838         1
04/17/2013   00:00          773         1
04/18/2013   00:00          728         1
04/19/2013   00:00          749         1
04/20/2013   00:00          814         1
04/21/2013   00:00          816         1
04/22/2013   00:00          771         1
04/23/2013   00:00          763         1
04/24/2013   00:00          770         1
04/25/2013   00:00          869         1
04/26/2013   00:00         1100         1
04/27/2013   00:00         1370         1
04/28/2013   00:00         1330         1
04/29/2013   00:00         1320         1
04/30/2013   00:00         1130         1
05/01/2013   00:00         1030         1
05/02/2013   00:00          996         1
05/03/2013   00:00         1130         1
05/04/2013   00:00         1480         1
05/05/2013   00:00         1910         1
05/06/2013   00:00         2490         1
05/07/2013   00:00         3340         1
05/08/2013   00:00         4260         1
05/09/2013   00:00         4620         1
05/10/2013   00:00         4390         1
05/11/2013   00:00         4390         1
05/12/2013   00:00         4880         1
05/13/2013   00:00         4790         1
05/14/2013   00:00         3890         1
05/15/2013   00:00         2780         1
05/16/2013   00:00         2450         1
05/17/2013   00:00         2480         1
05/18/2013   00:00         2350         1
05/19/2013   00:00         2220         1
05/20/2013   00:00         2200         1
05/21/2013   00:00         2490         1
05/22/2013   00:00         2180         1
05/23/2013   00:00         1780         1
05/24/2013   00:00         1540         1
05/25/2013   00:00         1370         1
05/26/2013   00:00         1280         1
05/27/2013   00:00         1270         1
05/28/2013   00:00         1410         1
05/29/2013   00:00         1520         1
05/30/2013   00:00         1500         1
05/31/2013   00:00         1440         1
06/01/2013   00:00         1560         1
06/02/2013   00:00         1750         1
06/03/2013   00:00         2010         1
06/04/2013   00:00         2270         1
06/05/2013   00:00         2710         1
06/06/2013   00:00         3110         1
06/07/2013   00:00         3210         1
06/08/2013   00:00         2950         1
06/09/2013   00:00         2680         1
06/10/2013   00:00         2390         1
06/11/2013   00:00         2130         1
06/12/2013   00:00         1800         1
06/13/2013   00:00         1700         1
06/14/2013   00:00         1720         1
06/15/2013   00:00         1820         1
06/16/2013   00:00         2080         1
06/17/2013   00:00         2470         1
06/18/2013   00:00         2410         1
06/19/2013   00:00         2230         1
06/20/2013   00:00         2040         1
06/21/2013   00:00         1760         1
06/22/2013   00:00         1700         1
06/23/2013   00:00         1840         1
06/24/2013   00:00         2120         1
06/25/2013   00:00         1990         1
06/26/2013   00:00         1830         1
06/27/2013   00:00         1880         1
06/28/2013   00:00         2290         1
06/29/2013   00:00         3070         1
06/30/2013   00:00         3120         1
07/01/2013   00:00         3360         1
07/02/2013   00:00         3580         1
07/03/2013   00:00         3040         1
07/04/2013   00:00         2330         1
07/05/2013   00:00         1970         1
07/06/2013   00:00         1810         1
07/07/2013   00:00         1800         1
07/08/2013   00:00         1800         1
07/09/2013   00:00         1750         1
07/10/2013   00:00         1690         1
07/11/2013   00:00         1470         1
07/12/2013   00:00         1130         1
07/13/2013   00:00          892         1
07/14/2013   00:00          863         1
07/15/2013   00:00          845         1
07/16/2013   00:00          867         1
07/17/2013   00:00         1090         1
07/18/2013   00:00         1060         1
07/19/2013   00:00          931         1
07/20/2013   00:00          888         1
07/21/2013   00:00          899         1
07/22/2013   00:00          918         1
07/23/2013   00:00          877         1
07/24/2013   00:00          818         1
07/25/2013   00:00          732         1
07/26/2013   00:00          658         1
07/27/2013   00:00          617         1
07/28/2013   00:00          564         1
07/29/2013   00:00          548         1
07/30/2013   00:00          543         1
07/31/2013   00:00          538         1
08/01/2013   00:00          544         1
08/02/2013   00:00          540         1
08/03/2013   00:00          495         1
08/04/2013   00:00          487         1
08/05/2013   00:00          490         1
08/06/2013   00:00          484         1
08/07/2013   00:00          457         1
08/08/2013   00:00          454         1
08/09/2013   00:00          449         1
08/10/2013   00:00          539         1
08/11/2013   00:00          878         1
08/12/2013   00:00          569         1
08/13/2013   00:00          452         1
08/14/2013   00:00          397         1
08/15/2013   00:00          401         1
08/16/2013   00:00          423         1
08/17/2013   00:00          381         1
08/18/2013   00:00          341         1
08/19/2013   00:00          331         1
08/20/2013   00:00          310         1
08/21/2013   00:00          288         1
08/22/2013   00:00          277         1
08/23/2013   00:00          279         1
08/24/2013   00:00          277         1
08/25/2013   00:00          258         1
08/26/2013   00:00          251         1
08/27/2013   00:00          267         1
08/28/2013   00:00          321         1
08/29/2013   00:00          618         1
08/30/2013   00:00          607         1
08/31/2013   00:00          379         1
09/01/2013   00:00          320         1
09/02/2013   00:00          309         1
09/03/2013   00:00          309         1
09/04/2013   00:00          300         1
09/05/2013   00:00          322         1
09/06/2013   00:00          684         1
09/07/2013   00:00          475         1
09/08/2013   00:00          406         1
09/09/2013   00:00          359         1
09/10/2013   00:00          335         1
09/11/2013   00:00          329         1
09/12/2013   00:00          333         1
09/13/2013   00:00          328         1
09/14/2013   00:00          325         1
09/15/2013   00:00          336         1
09/16/2013   00:00          394         1
09/17/2013   00:00          302         1
09/18/2013   00:00          262         1
09/19/2013   00:00          217         1
09/20/2013   00:00          184         1
09/21/2013   00:00          179         1
09/22/2013   00:00          219         1
09/23/2013   00:00          433         1
09/24/2013   00:00          344         1
09/25/2013   00:00          258         1
09/26/2013   00:00          219         1
09/27/2013   00:00          204         1
09/28/2013   00:00          954         1
09/29/2013   00:00         1490         1
09/30/2013   00:00         1330         1

Quality Codes Key:
1 - Good quality REVIEWED data
8 - Below rating
250 - Ice impacted data (will not be reported)
