To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

45K090--White R. nr Plain

DATE         Discharge (cfs)   QUALITY
----------   ---------------   -------
10/01/2016               115       140
10/02/2016               107       140
10/03/2016              95.8       140
10/04/2016              89.2       140
10/05/2016              99.4       140
10/06/2016              87.1       140
10/07/2016               181       140
10/08/2016              1070       140
10/09/2016              1810       140
10/10/2016               508       140
10/11/2016               355       140
10/12/2016               286       140
10/13/2016               438       140
10/14/2016              1340       140
10/15/2016              1050       140
10/16/2016              1190       140
10/17/2016               991       140
10/18/2016               930       140
10/19/2016               840       140
10/20/2016              3250       140
10/21/2016              2480       140
10/22/2016              1570       140
10/23/2016              1180       140
10/24/2016               971       140
10/25/2016               936       140
10/26/2016              1230       140
10/27/2016              2100       140
10/28/2016              1360       140
10/29/2016              1130       140
10/30/2016               975       140
10/31/2016              1130       140
11/01/2016              1120       140
11/02/2016              1130       140
11/03/2016              1120       140
11/04/2016               969       140
11/05/2016               984       140
11/06/2016              1150       140
11/07/2016               931       140
11/08/2016               865       140
11/09/2016               899       140
11/10/2016               885       140
11/11/2016               829       140
11/12/2016              1290       140
11/13/2016              1240       140
11/14/2016              1760       140
11/15/2016              1570       140
11/16/2016              1370       140
11/17/2016              1140       140
11/18/2016               996       140
11/19/2016               897       140
11/20/2016               813       140
11/21/2016               753       140
11/22/2016               685       140
11/23/2016               639       140
11/24/2016               616       140
11/25/2016               605       140
11/26/2016               581       140
11/27/2016               552       140
11/28/2016               535       140
11/29/2016               499       140
11/30/2016               488       140
12/01/2016               466       140
12/02/2016               444       140
12/03/2016               449       140
12/04/2016               447       140
12/05/2016               413       140
12/06/2016               387       140
12/07/2016               370       140
12/08/2016               353       140
12/09/2016               349       140
12/10/2016               348       140
12/11/2016               348       140
12/12/2016               327       140
12/13/2016               311       140
12/14/2016               294       140
12/15/2016               293       140
12/16/2016               280       140
12/17/2016               264       140
12/18/2016               319       140
12/19/2016               272       140
12/20/2016               278       140
12/21/2016               258       140
12/22/2016               248       140
12/23/2016               245       140
12/24/2016               236       140
12/25/2016               223       140
12/26/2016               241       140
12/27/2016               242       140
12/28/2016               235       140
12/29/2016               222       140
12/30/2016               218       140
12/31/2016               213       140
01/01/2017               207       140
01/02/2017               199       140
