Date,Trap Location,Trap Size,Crew,Trap Stop Time,Trap Start Time,Catch,Sorel_comment,Discharge,Cone RPM,Debris Amount,Debris Size,Water Temp,Water Clarity,Comments
6/8/2012,Nason,1.5 m,"MC, EB",8:50am,9:20am,NA,,909,10,Small,Small,5,Clear,
6/19/2013,Nason,1.5 m,"JH,MWC,KS",8:50am,9:20am,14,,856,8.25,Small,Small,7.5,Clear,
4/1/2014,Nason,1.5 m,"JH,BI",8:50am,9:20am,28,,374,8,Small,Small,3.8,Clear,
10/24/2012,White ,1.5 m,EB/MWC,8:50AM,9:20AM,10,,293,7.25,Medium,Medium,4.6,Clear,
6/9/2012,Nason,1.5 m,"EB, BI",8:45am,9:20am,5,,828,10,Small,Small,5,Clear,
4/17/2012,White ,1.5 m,"EB, BI",8:45am,9:20am,7,,612,6.5,Small,Small,3.4,Clear,
8/22/2009,White ,1.5m,MWC,8:20am,9:20am,5,,271,6,Small,Small,12.5,Cloudy,
5/13/2013,Nason,1.5 m,"MWC,BI",8:00am,9:20am,NA,,2860,12.5,Small,Small,5.9,Cloudy,Off of night shift
5/19/2007,Nason,1.5 m,MC,7:30am,9:20am,NA,,1230,9,Small,Small,7,Cloudy,
4/2/2006,Nason,1.5 m,"SB,MW",10:18am,9:20am,NA,,194,N/A,Small,Medium,2,Cloudy,
8/19/2010,White,1.5m,"MWC, LSO",9:05am,9:19am,NA,,427,6.5,Small,Small,15.6,Cloudy,
3/4/2012,Nason,1.5 m,"EB, BI",9:03am,9:19am,NA,,219,6,Small,Small,3.3,Clear,
5/2/2014,Nason,1.5 m,"KS,MWC",5:15am,9:18pm,12,,993,9.5,Small,Small,4.8,Cloudy,
11/3/2010,White,1.5m,"BI, MWC",9:05am,9:18am,NA,,753,6,Medium,Medium,N/A,N/A,Keep thermometer in tatum!
4/16/2011,White ,1.5 m,"MWC, NB",8:30am,9:18am,NA,,505,6.5,Small,Small,3.1,Clear,
10/23/2012,White ,1.5 m,JH/BI,8:15AM,9:17AM,32,,322,7,Medium,Medium,3.7,Clear,
4/29/2004,Nason,1.5 m,"SP,MR",7:00am,9:17am,4,,805,10,Medium,Small,5,Cloudy,
