"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"result.86",2,2,2,2,Inf,NA,NA,NA,NA,NA
"result.87",3,2,2,2,501.440519211032,335,40,295,NA,NA
"result.88",4,2,2,2,Inf,NA,NA,NA,NA,NA
"result.89",1,3,2,2,506.096015571357,340,42,298,NA,NA
"result.90",2,3,2,2,Inf,NA,NA,NA,NA,NA
"result.91",3,3,2,2,497.898295815346,335,40,295,NA,NA
"result.92",4,3,2,2,Inf,NA,NA,NA,NA,NA
"result.93",1,4,2,2,500.586893987653,335,40,295,NA,NA
"result.94",2,4,2,2,502.742955059456,330,38,292,NA,NA
"result.95",3,4,2,2,495.169530779145,330,38,292,NA,NA
"result.96",4,4,2,2,493.73761596475,325,36,289,NA,NA
"result.97",1,1,3,2,513.582411372149,345,44,301,NA,NA
"result.98",2,1,3,2,Inf,NA,NA,NA,NA,NA
"result.99",3,1,3,2,507.756183677313,340,42,298,NA,NA
"result.100",4,1,3,2,511.243734121361,NA,NA,NA,NA,NA
"result.101",1,2,3,2,Inf,NA,NA,NA,NA,NA
"result.102",2,2,3,2,Inf,NA,NA,NA,NA,NA
"result.103",3,2,3,2,Inf,NA,NA,NA,NA,NA
"result.104",4,2,3,2,Inf,NA,NA,NA,NA,NA
"result.105",1,3,3,2,510.679783204927,340,42,298,NA,NA
"result.106",2,3,3,2,Inf,NA,NA,NA,NA,NA
"result.107",3,3,3,2,502.608591387067,335,40,295,NA,NA
"result.108",4,3,3,2,502.40617732695,330,38,292,NA,NA
"result.109",1,4,3,2,504.905821165487,335,40,295,NA,NA
"result.110",2,4,3,2,503.361377854496,330,38,292,NA,NA
"result.111",3,4,3,2,499.461008239818,330,38,292,NA,NA
"result.112",4,4,3,2,497.09038942592,325,36,289,NA,NA
"result.113",1,1,4,2,512.526540013439,340,42,298,NA,NA
"result.114",2,1,4,2,Inf,NA,NA,NA,NA,NA
"result.115",3,1,4,2,508.40385888364,335,40,295,NA,NA
"result.116",4,1,4,2,512.567366385638,330,38,292,NA,NA
"result.117",1,2,4,2,515.37583364569,335,40,295,NA,NA
"result.118",2,2,4,2,Inf,NA,NA,NA,NA,NA
"result.119",3,2,4,2,508.220820211508,330,38,292,NA,NA
"result.120",4,2,4,2,509.386096752487,325,36,289,NA,NA
"result.121",1,3,4,2,507.55111693687,335,40,295,NA,NA
"result.122",2,3,4,2,512.804261498919,330,38,292,NA,NA
"result.123",3,3,4,2,502.471905862961,330,38,292,NA,NA
"result.124",4,3,4,2,506.533273067768,325,36,289,NA,NA
"result.125",1,4,4,2,506.554862738113,330,38,292,NA,NA
"result.126",2,4,4,2,509.386096751659,325,36,289,NA,NA
"result.127",3,4,4,2,501.949830126128,325,36,289,NA,NA
"result.128",4,4,4,2,503.1151083204,320,34,286,NA,NA
"result.129",1,1,1,3,Inf,NA,NA,NA,NA,NA
"result.130",2,1,1,3,Inf,NA,NA,NA,NA,NA
"result.131",3,1,1,3,493.328976830472,345,44,301,NA,NA
"result.132",4,1,1,3,501.049284302452,340,42,298,NA,NA
"result.133",1,2,1,3,509.75076166414,345,44,301,NA,NA
"result.134",2,2,1,3,Inf,NA,NA,NA,NA,NA
"result.135",3,2,1,3,Inf,NA,NA,NA,NA,NA
"result.136",4,2,1,3,503.763750297635,NA,NA,NA,NA,NA
"result.137",1,3,1,3,495.239671928705,NA,NA,NA,NA,NA
"result.138",2,3,1,3,Inf,NA,NA,NA,NA,NA
"result.139",3,3,1,3,489.191667692865,340,42,298,NA,NA
"result.140",4,3,1,3,496.791832082871,335,40,295,NA,NA
"result.141",1,4,1,3,502.067135388814,340,42,298,NA,NA
"result.142",2,4,1,3,503.763750291756,335,40,295,NA,NA
"result.143",3,4,1,3,495.98911178486,335,40,295,NA,NA
"result.144",4,4,1,3,497.492761857499,330,38,292,NA,NA
"result.145",1,1,2,3,496.346535283478,345,44,301,NA,NA
"result.146",2,1,2,3,Inf,NA,NA,NA,NA,NA
"result.147",3,1,2,3,490.292175227668,340,42,298,NA,NA
"result.148",4,1,2,3,498.008543579718,335,40,295,NA,NA
"result.149",1,2,2,3,Inf,NA,NA,NA,NA,NA
"result.150",2,2,2,3,504.278433557166,335,40,295,NA,NA
"result.151",3,2,2,3,Inf,NA,NA,NA,NA,NA
"result.152",4,2,2,3,498.007445120366,330,38,292,NA,NA
"result.153",1,3,2,3,491.877750409602,340,42,298,NA,NA
"result.154",2,3,2,3,499.850674977608,NA,NA,NA,NA,NA
"result.155",3,3,2,3,485.822298665032,335,40,295,NA,NA
"result.156",4,3,2,3,493.479328380185,330,38,292,NA,NA
"result.157",1,4,2,3,495.748921650785,335,40,295,NA,NA
"result.158",2,4,2,3,498.007445115579,330,38,292,NA,NA
"result.159",3,4,2,3,490.227793639493,330,38,292,NA,NA
"result.160",4,4,2,3,491.736456683689,325,36,289,NA,NA
"result.161",1,1,3,3,Inf,NA,NA,NA,NA,NA
"result.162",2,1,3,3,509.569671098795,340,42,298,NA,NA
"result.163",3,1,3,3,495.882797156608,NA,NA,NA,NA,NA
"result.164",4,1,3,3,503.298682665994,335,40,295,NA,NA
"result.165",1,2,3,3,Inf,NA,NA,NA,NA,NA
"result.166",2,2,3,3,Inf,NA,NA,NA,NA,NA
"result.167",3,2,3,3,Inf,NA,NA,NA,NA,NA
"result.168",4,2,3,3,510.970906458814,330,38,292,NA,NA
"result.169",1,3,3,3,496.396726034628,340,42,298,NA,NA
"result.170",2,3,3,3,503.825878896855,335,40,295,NA,NA
"result.171",3,3,3,3,490.327348516324,335,40,295,NA,NA
"result.172",4,3,3,3,497.554889823443,330,38,292,NA,NA
"result.173",1,4,3,3,499.965625177584,335,40,295,NA,NA
"result.174",2,4,3,3,Inf,NA,NA,NA,NA,NA
"result.175",3,4,3,3,494.405482545159,330,38,292,NA,NA
"result.176",4,4,3,3,492.335702735179,325,36,289,NA,NA
"result.177",1,1,4,3,503.313372612428,NA,NA,NA,NA,NA
"result.178",2,1,4,3,515.736514670065,335,40,295,NA,NA
"result.179",3,1,4,3,497.242228466091,NA,NA,NA,NA,NA
"result.180",4,1,4,3,509.465521971988,330,38,292,NA,NA
"result.181",1,2,4,3,508.129971786626,335,40,295,NA,NA
